filename,hog,path
1616422.jpg,[0.25163892 0.16194    0.17923473 ... 0.10292245 0.13992965 0.10476059],1009340/1616422.jpg
1677123.jpg,[0.14736304 0.         0.04168056 ... 0.0741305  0.10991409 0.0287339 ],1009340/1677123.jpg
1693742.jpg,[0.27466467 0.04975678 0.12587582 ... 0.24081118 0.08625451 0.093522  ],1009340/1693742.jpg
1693747.jpg,[0.11850233 0.05958383 0.0382688  ... 0.12896726 0.08538975 0.04407629],1009340/1693747.jpg
1693750.jpg,[0.0997785  0.02145303 0.29499006 ... 0.         0.07495395 0.09017225],1009340/1693750.jpg
1693753.jpg,[0.0882173  0.07303993 0.22399716 ... 0.09266362 0.10349324 0.15508379],1009340/1693753.jpg
1693756.jpg,[0.04477678 0.         0.05013144 ... 0.0736341  0.         0.02396078],1009340/1693756.jpg
1693801.jpg,[0.2535082  0.07953148 0.20769109 ... 0.08021628 0.03914633 0.06606138],1009340/1693801.jpg
1693809.jpg,[0.28359786 0.         0.23394427 ... 0.18042035 0.04734609 0.25383663],1009340/1693809.jpg
1693811.jpg,[0.2721257  0.05022855 0.06353465 ... 0.0678238  0.05547471 0.04358437],1009340/1693811.jpg
1693814.jpg,[0.35923386 0.03931159 0.05080334 ... 0.20831412 0.05801924 0.05115839],1009340/1693814.jpg
1715304.jpg,[0.02327577 0.         0.00822923 ... 0.0857721  0.22787918 0.19555672],1009340/1715304.jpg
1715363.jpg,[0.26772556 0.         0.21117534 ... 0.0414658  0.06175368 0.13614221],1009340/1715363.jpg
1740837.jpg,[0.1099146  0.12011235 0.24826723 ... 0.18069524 0.07476576 0.11956026],1009340/1740837.jpg
1740843.jpg,[0.2204599  0.         0.         ... 0.084208   0.03734991 0.        ],1009340/1740843.jpg
1792897.jpg,[0.05730452 0.         0.03894141 ... 0.1551105  0.06792361 0.03674222],1009340/1792897.jpg
1814140.jpg,[0.18042415 0.03806044 0.27242425 ... 0.08587885 0.15776576 0.03947606],1009340/1814140.jpg
1849112.jpg,[0.1347143  0.07796867 0.04870666 ... 0.17123912 0.02134272 0.1872174 ],1009340/1849112.jpg
1849114.jpg,[0.04512877 0.         0.04829752 ... 0.02460614 0.         0.        ],1009340/1849114.jpg
1849115.jpg,[0.1772827  0.05232206 0.00942981 ... 0.00493897 0.06179927 0.13713726],1009340/1849115.jpg
1859278.jpg,[0.08460126 0.00984932 0.0087014  ... 0.05812402 0.1207912  0.08118846],1009340/1859278.jpg
1859279.jpg,[0.15697886 0.01319555 0.14034127 ... 0.11026448 0.27085263 0.10368166],1009340/1859279.jpg
1859280.jpg,[0.29035625 0.         0.11268008 ... 0.01132468 0.         0.        ],1009340/1859280.jpg
1882404.jpg,[0.2242917  0.10659437 0.07182357 ... 0.09652916 0.067924   0.1419452 ],1009340/1882404.jpg
1890160.jpg,[0.27795398 0.         0.10930239 ... 0.06102822 0.09540872 0.04464539],1009340/1890160.jpg
1903328.jpg,[0.07440909 0.         0.14732249 ... 0.10371687 0.04625669 0.03793052],1009340/1903328.jpg
1905597.jpg,[0.18522623 0.10335025 0.27676472 ... 0.06402741 0.02312279 0.04570477],1009340/1905597.jpg
1905614.jpg,[0.05454161 0.         0.32002172 ... 0.07331879 0.07589471 0.12299995],1009340/1905614.jpg
1906278.jpg,[0.05425296 0.02298993 0.03153653 ... 0.17637418 0.22306004 0.12374345],1009340/1906278.jpg
1924111.jpg,[0.23670049 0.14329964 0.04723099 ... 0.11249517 0.08145872 0.13081932],1009340/1924111.jpg
1945763.jpg,[0.02850942 0.13245466 0.13640112 ... 0.01805321 0.10246684 0.16635773],1009340/1945763.jpg
1966863.jpg,[0.25733003 0.25733003 0.25733003 ... 0.29451218 0.14769055 0.19209161],1009340/1966863.jpg
2000661.jpg,[0.23916213 0.04478186 0.23916213 ... 0.11539846 0.06127264 0.06471251],1009340/2000661.jpg
2028670.jpg,[0.23099582 0.2052251  0.23099582 ... 0.27256164 0.21560195 0.0152177 ],1009340/2028670.jpg
2031308.jpg,[0.2136369  0.11586423 0.17055158 ... 0.23722735 0.19233656 0.05772639],1009340/2031308.jpg
2034047.jpg,[0.28693634 0.         0.28693634 ... 0.01018839 0.00797165 0.04682514],1009340/2034047.jpg
2034048.jpg,[0.27438143 0.04590226 0.11612455 ... 0.02433839 0.01236928 0.01817435],1009340/2034048.jpg
2107692.jpg,[0.09074789 0.06730669 0.07608248 ... 0.02490991 0.07500041 0.15935741],1009340/2107692.jpg
2107693.jpg,[0.07342179 0.02369957 0.02921368 ... 0.13594735 0.1015322  0.24961875],1009340/2107693.jpg
2120841.jpg,[0.12102129 0.08016355 0.14196819 ... 0.05996435 0.13442104 0.0399777 ],1009340/2120841.jpg
2256769.jpg,[0.1284417  0.03170699 0.14685057 ... 0.02855178 0.15584001 0.12797363],1009340/2256769.jpg
2256946.jpg,[0.283852   0.         0.23351327 ... 0.05412661 0.02569965 0.0340756 ],1009340/2256946.jpg
2256990.jpg,[0.27762115 0.         0.13120736 ... 0.1119791  0.07442436 0.01403944],1009340/2256990.jpg
2258068.jpg,[0.06512097 0.02912298 0.05525697 ... 0.12816323 0.09046206 0.04475811],1009340/2258068.jpg
2258950.jpg,[0.08483076 0.0338071  0.09810688 ... 0.14322877 0.07340201 0.05012324],1009340/2258950.jpg
2309398.jpg,[0.02337512 0.00175423 0.02156051 ... 0.01746153 0.18023443 0.08669225],1009340/2309398.jpg
2331288.jpg,[0.2475439  0.06275311 0.08766024 ... 0.11779399 0.07222794 0.05217014],1009340/2331288.jpg
